period,work_order,person,hours,charge_rate,description
202081,9300-3-3,Tim Moreno,26.6,80,AI integration study
202001,9300-3-3,Tim Moreno,14.3,80,updating department budget
202043,9200-2-2,Jennifer Hoffman,7.4,60,AI integration study
202142,9400-4-4,Carolyn Fleming,25.3,50,equipment maintenance
202075,9500-5-5,Samuel Cook,5.5,70,data migration project
202183,9400-4-4,Johnathan Pena,11.1,80,system upgrade implementation
202040,9400-4-4,Darlene Fischer,29.6,60,software development
202159,9300-3-3,Kyle Smith,15.8,60,training new hires
202007,9300-3-3,Carolyn Fleming,15.0,80,equipment maintenance
202012,9300-3-3,Kyle Smith,28.8,80,cybersecurity audit
202166,9100-1-1,Samuel Cook,31.6,60,software development
202133,9500-5-5,Deanna Russell,34.6,70,AI integration study
202090,9400-4-4,Vincent Hunt,18.6,60,updating department budget
202016,9500-5-5,William Hernandez,16.1,100,software development
202022,9400-4-4,Sarah Wilson,4.1,60,updating department budget
202012,9400-4-4,Angel Parsons,5.8,50,software development
202059,9300-3-3,Jessica Garner,23.0,50,data migration project
202152,9200-2-2,Brian Wiggins,18.2,100,equipment maintenance
202082,9400-4-4,Samuel Cook,27.7,80,performance review analysis
202199,9500-5-5,Christopher Gregory,20.9,50,performance review analysis
202147,9100-1-1,Mia Davis,15.2,60,AI integration study
202196,9200-2-2,Abigail Contreras,33.4,100,cybersecurity audit
202194,9300-3-3,Kimberly Russell,34.6,70,software development
202033,9500-5-5,Johnathan Pena,11.5,50,cybersecurity audit
202127,9100-1-1,Angel Parsons,7.3,100,system upgrade implementation
202207,9100-1-1,Christopher Powers,27.8,80,cybersecurity audit
202128,9400-4-4,Michael White,29.0,50,research into teleportation
202116,9500-5-5,Kyle Smith,29.1,100,cybersecurity audit
202195,9300-3-3,Kyle Smith,37.8,100,training new hires
202099,9300-3-3,Christopher Gregory,13.1,80,system upgrade implementation
202172,9500-5-5,Michael White,20.0,60,updating department budget
202117,9200-2-2,Deanna Russell,1.5,80,equipment maintenance
202015,9400-4-4,Angel Parsons,17.7,50,data migration project
202080,9400-4-4,Christopher Gregory,15.5,90,equipment maintenance
202152,9500-5-5,Dennis Hamilton,36.5,80,AI integration study
202205,9300-3-3,John Adams,20.6,100,software development
202121,9200-2-2,William Hernandez,8.4,70,training new hires
202182,9100-1-1,John Allison,9.2,60,software development
202199,9500-5-5,Jennifer Hoffman,1.0,70,data migration project
202027,9500-5-5,Abigail Contreras,22.6,100,performance review analysis
202054,9200-2-2,David Robinson,8.9,80,data migration project
202076,9300-3-3,Angel Parsons,33.3,100,equipment maintenance
202007,9100-1-1,Sarah Wilson,2.3,90,data migration project
202165,9400-4-4,Jessica Garner,1.4,100,AI integration study
202195,9300-3-3,Christina Scott,10.3,80,system upgrade implementation
202060,9400-4-4,Darlene Fischer,11.6,100,updating department budget
202093,9500-5-5,William Hernandez,8.2,80,cybersecurity audit
202047,9500-5-5,Brian Wiggins,11.2,70,data migration project
202104,9100-1-1,William Hernandez,12.2,90,training new hires
202050,9300-3-3,Angel Parsons,2.6,60,performance review analysis
202033,9200-2-2,Abigail Contreras,1.3,100,cybersecurity audit
202149,9300-3-3,Carolyn Fleming,33.1,60,data migration project
